Race,race_id,batch_id,Batch Number,Datetime,baseline_dem_votes,baseline_total_votes,baseline_dem_proportion,this_batch_dem_votes,this_batch_total_votes,this_batch_dem_proportion,up_to_this_batch_dem_votes,up_to_this_batch_total_votes,up_to_this_batch_dem_proportion,up_to_this_batch_no_baseline_dem_votes,up_to_this_batch_no_baseline_total_votes,up_to_this_batch_no_baseline_dem_proportion,final_dem_votes,final_total_votes,final_dem_proportion
SD-19,10,5,9,2024-11-12 19:20:00,123971,265553,0.4668408942847567,6378.0,15963.0,0.3995489569629769,149893,323979,0.46266270344682836,25922,58426,0.44367233765789205,173291,383030,0.45242148134610866
CD-21,2,5,9,2024-11-12 17:19:00,64986,128496,0.5057433694434068,13410.0,22584.0,0.5937832093517534,79377,153215,0.5180759064060307,14391,24719,0.5821837452971399,102798,195531,0.5257376068244933
CD-9,9,5,9,2024-11-12 17:19:00,74163,146313,0.5068790879826126,19.0,71.0,0.2676056338028169,100665,194239,0.5182532859003599,26502,47926,0.5529775069899429,130183,251357,0.5179207262976563
CD-22,3,5,9,2024-11-12 17:19:00,45679,101615,0.44953008906165426,3274.0,6586.0,0.4971150926207106,65261,140068,0.46592369420567153,19582,38453,0.5092450524016332,78023,167507,0.46578948939447307
CD-22,3,6,10,2024-11-13 10:32:00,45679,101615,0.44953008906165426,856.0,2046.0,0.41837732160312807,66117,142114,0.4652391741841057,20438,40499,0.5046544359119979,78023,167507,0.46578948939447307
SD-5,12,6,10,2024-11-13 10:32:00,91382,182173,0.5016220845020941,0.0,0.0,,144213,273446,0.527391148526583,52831,91273,0.5788239676574671,189668,358804,0.5286117211625289
CD-21,2,6,10,2024-11-13 10:32:00,64986,128496,0.5057433694434068,1145.0,2606.0,0.43937068303914045,80522,155821,0.5167596151994918,15536,27325,0.5685635864592864,102798,195531,0.5257376068244933
CD-49,8,6,10,2024-11-13 10:32:00,145722,285076,0.5111689514375114,0.0,-1.0,,181691,349182,0.5203332359629076,35969,64106,0.5610863257729386,197397,378347,0.5217353381948318
CD-41,5,6,10,2024-11-13 10:32:00,119833,247121,0.4849162960654902,7521.0,15617.0,0.48159057437407954,153079,314281,0.48707685160731956,33246,67160,0.49502680166765933,171229,354445,0.48309046537544614
CD-40,4,6,10,2024-11-13 10:32:00,130259,298774,0.43597836491796477,76.0,185.0,0.41081081081081083,155950,351574,0.44357660122762205,25691,52800,0.4865719696969697,171637,383635,0.447396613969007
CD-47,7,6,10,2024-11-13 10:32:00,137577,275770,0.4988831272437176,0.0,0.0,,164372,322832,0.5091564652822521,26795,47062,0.5693553185160002,181721,353275,0.5143896397990234
AD-58,0,6,10,2024-11-13 10:32:00,48086,98720,0.48709481361426255,0.0,0.0,,66640,133972,0.49741737079389725,18554,35252,0.5263247475320549,77696,155988,0.4980895966356386
CD-13,1,6,10,2024-11-13 10:32:00,55625,114417,0.4861602733859479,0.0,0.0,,73563,150248,0.48961051062243754,17938,35831,0.5006279478663727,105554,210921,0.5004432939346959
SD-19,10,6,10,2024-11-13 10:32:00,123971,265553,0.4668408942847567,0.0,0.0,,149893,323979,0.46266270344682836,25922,58426,0.44367233765789205,173291,383030,0.45242148134610866
SD-37,11,6,10,2024-11-13 10:32:00,171458,355138,0.482792604564986,0.0,0.0,,206508,422437,0.4888492248548304,35050,67299,0.5208101160492726,226270,458615,0.4933767975316987
CD-45,6,6,10,2024-11-13 10:32:00,117564,244488,0.48085795621871014,0.0,0.0,,144828,291928,0.4961086295250884,27264,47440,0.5747048903878583,158264,315875,0.5010336367233874
CD-9,9,6,10,2024-11-13 10:32:00,74163,146313,0.5068790879826126,0.0,0.0,,100665,194239,0.5182532859003599,26502,47926,0.5529775069899429,130183,251357,0.5179207262976563
SD-5,12,7,11,2024-11-14 03:14:00,91382,182173,0.5016220845020941,15556.0,31931.0,0.48717547211174095,159769,305377,0.5231860945650786,68387,123204,0.5550712639200026,189668,358804,0.5286117211625289
SD-37,11,7,11,2024-11-14 03:14:00,171458,355138,0.482792604564986,9504.0,17203.0,0.5524617799221067,216012,439640,0.49133836775543627,44554,84502,0.5272537928096377,226270,458615,0.4933767975316987
CD-21,2,7,11,2024-11-14 03:14:00,64986,128496,0.5057433694434068,912.0,1860.0,0.49032258064516127,81434,157681,0.5164477647909387,16448,29185,0.5635771800582491,102798,195531,0.5257376068244933
CD-22,3,7,11,2024-11-14 03:14:00,45679,101615,0.44953008906165426,7090.0,14456.0,0.49045379081350304,73207,156570,0.4675672223286709,27528,54955,0.5009189336730052,78023,167507,0.46578948939447307
CD-49,8,7,11,2024-11-14 03:14:00,145722,285076,0.5111689514375114,8119.0,14453.0,0.5617518854217117,189810,363635,0.5219794574229654,44088,78559,0.5612087730240966,197397,378347,0.5217353381948318
SD-19,10,7,11,2024-11-14 03:14:00,123971,265553,0.4668408942847567,5964.0,15000.0,0.3976,155857,338979,0.4597836444145508,31886,73426,0.43426034374744643,173291,383030,0.45242148134610866
CD-41,5,7,11,2024-11-14 03:14:00,119833,247121,0.4849162960654902,9497.0,20937.0,0.45359889191383673,162576,335218,0.4849858897791885,42743,88097,0.485181107188667,171229,354445,0.48309046537544614
CD-40,4,7,11,2024-11-14 03:14:00,130259,298774,0.43597836491796477,7092.0,14079.0,0.5037289580225869,163042,365653,0.4458926906110438,32783,66879,0.49018376470940056,171637,383635,0.447396613969007
CD-45,6,7,11,2024-11-14 03:14:00,117564,244488,0.48085795621871014,6218.0,10513.0,0.5914581946161894,151046,302441,0.4994230279624786,33482,57953,0.5777440339585527,158264,315875,0.5010336367233874
CD-47,7,7,11,2024-11-14 03:14:00,137577,275770,0.4988831272437176,8697.0,14548.0,0.5978141325268078,173069,337380,0.5129794297231608,35492,61610,0.5760753124492777,181721,353275,0.5143896397990234
CD-9,9,7,11,2024-11-14 03:14:00,74163,146313,0.5068790879826126,16406.0,31778.0,0.5162691169991819,117071,226017,0.5179743116668215,42908,79704,0.5383418649001305,130183,251357,0.5179207262976563
AD-58,0,7,11,2024-11-14 03:14:00,48086,98720,0.48709481361426255,5895.0,11665.0,0.5053579082726104,72535,145637,0.49805337929235016,24449,46917,0.5211117505381845,77696,155988,0.4980895966356386
CD-13,1,7,11,2024-11-14 03:14:00,55625,114417,0.4861602733859479,3064.0,6771.0,0.45251809186235414,76627,157019,0.4880110050376069,21002,42602,0.4929815501619642,105554,210921,0.5004432939346959
CD-45,6,8,12,2024-11-14 18:06:00,117564,244488,0.48085795621871014,739.0,1365.0,0.5413919413919414,151785,303806,0.4996115942410617,34221,59318,0.5769075154253346,158264,315875,0.5010336367233874
SD-37,11,8,12,2024-11-14 18:06:00,171458,355138,0.482792604564986,910.0,1709.0,0.5324751316559392,216922,441349,0.49149765831575465,45464,86211,0.5273572977926251,226270,458615,0.4933767975316987
AD-58,0,8,12,2024-11-14 18:06:00,48086,98720,0.48709481361426255,791.0,1550.0,0.5103225806451613,73326,147187,0.49818258405973354,25240,48467,0.5207667072441042,77696,155988,0.4980895966356386
CD-22,3,8,12,2024-11-14 18:06:00,45679,101615,0.44953008906165426,973.0,2425.0,0.40123711340206186,74180,158995,0.4665555520613856,28501,57380,0.49670616939700246,78023,167507,0.46578948939447307
CD-41,5,8,12,2024-11-14 18:06:00,119833,247121,0.4849162960654902,2078.0,4573.0,0.45440629783511916,164654,339791,0.48457434128626126,44821,92670,0.4836624581849574,171229,354445,0.48309046537544614
CD-47,7,8,12,2024-11-14 18:06:00,137577,275770,0.4988831272437176,831.0,1576.0,0.5272842639593909,173900,338956,0.513045941066097,36323,63186,0.5748583546988257,181721,353275,0.5143896397990234
CD-49,8,8,12,2024-11-14 18:06:00,145722,285076,0.5111689514375114,232.0,479.0,0.48434237995824636,190042,364114,0.5219299450172199,44320,79038,0.5607429337786888,197397,378347,0.5217353381948318
CD-13,1,8,12,2024-11-14 18:06:00,55625,114417,0.4861602733859479,10924.0,19847.0,0.5504106414067618,87551,176866,0.4950131738152047,31926,62449,0.5112331662636711,105554,210921,0.5004432939346959
SD-5,12,8,12,2024-11-14 18:06:00,91382,182173,0.5016220845020941,0.0,0.0,,159769,305377,0.5231860945650786,68387,123204,0.5550712639200026,189668,358804,0.5286117211625289
SD-19,10,8,12,2024-11-14 18:06:00,123971,265553,0.4668408942847567,3724.0,9317.0,0.39969947407963935,159581,348296,0.4581763787123596,35610,82743,0.43036873209818355,173291,383030,0.45242148134610866
CD-21,2,8,12,2024-11-14 18:06:00,64986,128496,0.5057433694434068,1199.0,2846.0,0.421293042867182,82633,160527,0.5147607567574302,17647,32031,0.5509350316880522,102798,195531,0.5257376068244933
CD-9,9,8,12,2024-11-14 18:06:00,74163,146313,0.5068790879826126,19.0,64.0,0.296875,117090,226081,0.5179117219049809,42927,79768,0.5381481295757697,130183,251357,0.5179207262976563
CD-40,4,8,12,2024-11-14 18:06:00,130259,298774,0.43597836491796477,1106.0,2291.0,0.4827586206896552,164148,367944,0.4461222359924336,33889,69170,0.48993783432123755,171637,383635,0.447396613969007
CD-9,9,9,13,2024-11-15 19:08:00,74163,146313,0.5068790879826126,6463.0,12052.0,0.5362595419847328,123553,238133,0.5188403119265285,49390,91820,0.5379002395992158,130183,251357,0.5179207262976563
CD-13,1,9,13,2024-11-15 19:06:00,55625,114417,0.4861602733859479,517.0,1192.0,0.4337248322147651,88068,178058,0.49460288220692133,32443,63641,0.5097814302100847,105554,210921,0.5004432939346959
